"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CYP4X11",1.34345063559308e-07,1.48799501351356,0.265,0.11,0.00277530032300818,"2","CYP4X1"
"P3H4",1.34748523106391e-07,2.20968865583943,0.084,0.013,0.00278363499033183,"2","P3H4"
"COMT1",1.35368926030417e-07,0.379318919669814,0.806,0.517,0.00279645127393636,"2","COMT"
"FOXC11",1.36646838328919e-07,0.705049389790564,0.432,0.224,0.0028228503861988,"2","FOXC1"
"RSL1D11",1.37308389456625e-07,0.354966622861093,0.626,0.38,0.00283651670939495,"2","RSL1D1"
"EEF1D1",1.38718785755425e-07,0.36367201592562,0.987,0.768,0.00286565267613556,"2","EEF1D"
"HSD17B12",1.40977790207246e-07,0.722286434581442,0.381,0.192,0.00291231919010129,"2","HSD17B12"
"MORF4L1",1.41021003659895e-07,0.222531156478713,0.781,0.493,0.0029132118936061,"2","MORF4L1"
"TMCO1",1.4256820923178e-07,0.373055893784855,0.6,0.348,0.00294517406631011,"2","TMCO1"
"PNPT1",1.44858558521639e-07,1.31330222927397,0.148,0.04,0.00299248810194001,"2","PNPT1"
"PDGFD",1.46702166187869e-07,2.75802055394314,0.11,0.023,0.003030573349109,"2","PDGFD"
"HIGD2A1",1.46794178782862e-07,0.393991218346045,0.903,0.593,0.00303247414529637,"2","HIGD2A"
"CC2D2A",1.48554497996464e-07,2.23263739567193,0.097,0.018,0.00306883881961094,"2","CC2D2A"
"COL5A1",1.48759149577281e-07,1.34672977504336,0.09,0.015,0.00307306651196747,"2","COL5A1"
"GOPC",1.50096857723327e-07,0.896631494009319,0.284,0.119,0.0031007008868485,"2","GOPC"
"TMEM5",1.54762867939023e-07,1.02583292927441,0.252,0.1,0.00319709132588434,"2","TMEM5"
"TGFB1I1",1.57186671774799e-07,1.08279004195226,0.148,0.04,0.00324716226552379,"2","TGFB1I1"
"YTHDC1",1.63468702223565e-07,0.506691042716645,0.342,0.16,0.0033769364505344,"2","YTHDC1"
"RPL111",1.65383167745164e-07,0.246368293816214,0.994,0.968,0.00341648547927961,"2","RPL11"
"WWP1",1.65958405608499e-07,0.547874105197932,0.232,0.083,0.00342836874306037,"2","WWP1"
"NBR1",1.70059491048635e-07,1.08763567708718,0.245,0.098,0.00351308896608271,"2","NBR1"
"HLTF",1.7010437209285e-07,0.870452459291134,0.194,0.064,0.00351401611869409,"2","HLTF"
"ACSL4",1.75566072588996e-07,1.28622515000811,0.219,0.079,0.00362684392754348,"2","ACSL4"
"SPCS2",1.78399862271267e-07,0.275437039041102,0.768,0.489,0.00368538435479983,"2","SPCS2"
"SHB",1.80153395533693e-07,1.57114847646528,0.161,0.048,0.00372160884493503,"2","SHB"
"KIAA2026",1.82932246637552e-07,1.0061028434716,0.206,0.072,0.00377901435103855,"2","KIAA2026"
"RILPL1",1.83860151361061e-07,0.988599265497448,0.168,0.05,0.0037981830068168,"2","RILPL1"
"WDR36",1.84582581589079e-07,1.61546756723003,0.168,0.05,0.00381310697046719,"2","WDR36"
"BRD2",1.88924894506886e-07,0.175667037022797,0.355,0.163,0.00390281047072325,"2","BRD2"
"TMEM70",1.91602011470816e-07,0.805985417971309,0.245,0.093,0.00395811435296412,"2","TMEM70"
"MCFD2",2.00947624664091e-07,0.96344085395172,0.265,0.111,0.00415117603031078,"2","MCFD2"
"NGFR",2.10222982203152e-07,1.83041675810663,0.135,0.035,0.00434278636635272,"2","NGFR"
"NSMCE3",2.10611551983369e-07,0.949951927669283,0.297,0.132,0.00435081344087244,"2","NSMCE3"
"PHGDH",2.13247580956091e-07,0.289418149174717,0.355,0.169,0.00440526852739094,"2","PHGDH"
"STEAP2",2.17224300936405e-07,2.50360096061939,0.11,0.024,0.00448741960874426,"2","STEAP2"
"NME31",2.19079778797897e-07,0.360987409139321,0.684,0.407,0.00452575007040696,"2","NME3"
"MED101",2.20141940084414e-07,0.438156076075026,0.452,0.238,0.00454769219826382,"2","MED10"
"PLEKHA51",2.20545817332623e-07,0.985823129692154,0.252,0.102,0.00455603549445732,"2","PLEKHA5"
"TRAPPC6A1",2.20911171366188e-07,0.410968521130597,0.477,0.26,0.00456358297808272,"2","TRAPPC6A"
"CENPC",2.25239409839325e-07,0.974288168852223,0.265,0.111,0.00465299572846078,"2","CENPC"
"POLR1E",2.2671247464661e-07,0.572792013407771,0.181,0.059,0.00468342630124967,"2","POLR1E"
"GLT8D1",2.37331275511923e-07,1.01694101127376,0.232,0.088,0.00490278948952531,"2","GLT8D1"
"PPP1R12A",2.395151643136e-07,0.737092902342706,0.303,0.135,0.00494790426439034,"2","PPP1R12A"
"HDDC21",2.43326143388595e-07,0.656888218853365,0.49,0.282,0.00502663147012159,"2","HDDC2"
"HNRNPR",2.5017168580932e-07,0.317218551756777,0.555,0.308,0.00516804668544894,"2","HNRNPR"
"FKBP21",2.51739606787361e-07,0.299278983193454,0.787,0.475,0.0052004367970133,"2","FKBP2"
"CDH3",2.53779974081746e-07,1.2890347147024,0.194,0.067,0.0052425867045807,"2","CDH3"
"CPE",2.54320679435821e-07,2.33555630415458,0.116,0.026,0.00525375659578518,"2","CPE"
"SOX151",2.64504042743262e-07,0.660622061614209,0.426,0.23,0.00546412451499031,"2","SOX15"
"DNAJC1",2.66138718475599e-07,0.973012169766059,0.316,0.146,0.00549789364626892,"2","DNAJC1"
"MRPL51",2.69333435474703e-07,0.215790376259508,0.852,0.54,0.00556389011003642,"2","MRPL51"
"ZC3H8",2.79541555506259e-07,0.816171309661609,0.277,0.119,0.00577476945364831,"2","ZC3H8"
"ARMCX6",2.84267860331366e-07,0.3225070417539,0.245,0.096,0.00587240545872535,"2","ARMCX6"
"FXR1",2.90096290310458e-07,0.42633115792108,0.503,0.289,0.00599280916523345,"2","FXR1"
"TRIP11",3.01885147320519e-07,0.822100902570205,0.297,0.134,0.00623634337334729,"2","TRIP11"
"CDCA7L",3.02488797606004e-07,0.996816067561764,0.213,0.077,0.00624881358094483,"2","CDCA7L"
"EXTL2",3.10092865725325e-07,1.94760802737777,0.116,0.026,0.00640589842015377,"2","EXTL2"
"SSB1",3.11290727530582e-07,0.203312372429609,0.69,0.42,0.00643064384932677,"2","SSB"
"ASCL2",3.13197710544392e-07,0.535822759179479,0.271,0.115,0.00647003830442605,"2","ASCL2"
"SPOCK1",3.14575161805362e-07,3.53680022692109,0.084,0.014,0.00649849369257517,"2","SPOCK1"
"ALDH9A11",3.15638139806896e-07,0.701420186355937,0.342,0.168,0.00652045269213086,"2","ALDH9A1"
"LRRC75B",3.15770126161424e-07,2.1354558682217,0.097,0.019,0.0065231792662427,"2","LRRC75B"
"C11orf58",3.1735464562575e-07,0.113016304714176,0.735,0.467,0.00655591226933675,"2","C11orf58"
"STON21",3.17977659292438e-07,0.656967177348281,0.239,0.09,0.00656878248566319,"2","STON2"
"RPS231",3.20195121727037e-07,0.225247045461956,1,0.955,0.00661459082463712,"2","RPS23"
"NDUFS41",3.20762211549387e-07,0.524140503228192,0.652,0.424,0.00662630576618724,"2","NDUFS4"
"C9orf78",3.22076453032076e-07,0.127170877754821,0.465,0.241,0.00665345536673662,"2","C9orf78"
"TES",3.24898807643674e-07,0.597563173537916,0.342,0.165,0.00671175956830302,"2","TES"
"C15orf611",3.26114795047998e-07,0.417443783213874,0.458,0.241,0.00673687943610153,"2","C15orf61"
"PPP2R2A",3.28980646986699e-07,0.391401699429688,0.303,0.135,0.00679608220545123,"2","PPP2R2A"
"PTK7",3.32882527454864e-07,1.73422370773577,0.168,0.053,0.00687668725216259,"2","PTK7"
"ID4",3.35786081251065e-07,0.80954232545385,0.277,0.121,0.00693666886648451,"2","ID4"
"AZI2",3.40033061056074e-07,0.616646391857666,0.252,0.102,0.00702440297529637,"2","AZI2"
"LINC01420",3.41451218321486e-07,0.156673382441004,0.587,0.334,0.00705369926808526,"2","LINC01420"
"FAM13A",3.61419652849304e-07,2.66734365347027,0.116,0.028,0.00746620718856092,"2","FAM13A"
"RAPGEF5",3.63028597595317e-07,2.3312116011266,0.084,0.014,0.00749944476912406,"2","RAPGEF5"
"TMEM1091",3.66028381558938e-07,0.7018369269263,0.4,0.216,0.00756141430624453,"2","TMEM109"
"OSBPL9",3.69826187890538e-07,0.715113773960057,0.232,0.09,0.00763986938944274,"2","OSBPL9"
"PSMA4",3.74942497750762e-07,0.172138957544283,0.639,0.363,0.00774556211853523,"2","PSMA4"
"TMEM43",3.75230998306345e-07,0.967845796213438,0.284,0.125,0.00775152196301248,"2","TMEM43"
"CANX",3.76936181407951e-07,0.151060442486295,0.535,0.306,0.00778674763552545,"2","CANX"
"RBM25",3.78144164095786e-07,0.553836897546464,0.426,0.226,0.00781170214189075,"2","RBM25"
"TPR",3.79477234972628e-07,0.531579770484535,0.394,0.194,0.00783924072006456,"2","TPR"
"HSPA4L",3.82026007760706e-07,0.411753711726799,0.239,0.095,0.00789189326832066,"2","HSPA4L"
"IFI16",3.83668720338632e-07,0.180248621978644,0.619,0.359,0.00792582842475546,"2","IFI16"
"CAMLG",3.87170026599891e-07,0.22037981075245,0.535,0.304,0.00799815840950056,"2","CAMLG"
"DNAJB11",3.91849737920213e-07,0.594892702883789,0.271,0.117,0.00809483188595577,"2","DNAJB11"
"GBP1",3.94400748034288e-07,0.908798663861976,0.161,0.048,0.00814753065289232,"2","GBP1"
"SMCO4",3.95960752988986e-07,1.26583951873034,0.2,0.072,0.00817975723524648,"2","SMCO4"
"LSM8",3.96000689702341e-07,0.365168277114122,0.568,0.32,0.00818058224787097,"2","LSM8"
"NPC21",4.01321137818048e-07,0.319241007777864,0.89,0.585,0.00829049206504523,"2","NPC2"
"PODN",4.03824970713525e-07,7.31015050987451,0.032,0,0.00834221624500001,"2","PODN"
"ADGRL4",4.03824970713525e-07,7.07577621463075,0.032,0,0.00834221624500001,"2","ADGRL4"
"ARHGAP29",4.03824970713525e-07,6.74693475385746,0.032,0,0.00834221624500001,"2","ARHGAP29"
"SHE",4.03824970713525e-07,6.15048235659883,0.032,0,0.00834221624500001,"2","SHE"
"DPT",4.03824970713525e-07,8.00506229172731,0.032,0,0.00834221624500001,"2","DPT"
"EMCN",4.03824970713525e-07,6.79304866349734,0.032,0,0.00834221624500001,"2","EMCN"
"RSPO3",4.03824970713525e-07,7.4388283769323,0.032,0,0.00834221624500001,"2","RSPO3"
"CHRDL1",4.03824970713525e-07,7.40808204669195,0.032,0,0.00834221624500001,"2","CHRDL1"
"CSGALNACT1",4.03824970713525e-07,6.98166701482919,0.032,0,0.00834221624500001,"2","CSGALNACT1"
"SCARA5",4.03824970713525e-07,6.73613210118307,0.032,0,0.00834221624500001,"2","SCARA5"
"ADGRA2",4.03824970713525e-07,6.84080373700068,0.032,0,0.00834221624500001,"2","ADGRA2"
"PREX2",4.03824970713525e-07,6.66623821455533,0.032,0,0.00834221624500001,"2","PREX2"
"COL15A1",4.03824970713525e-07,8.01383066183453,0.032,0,0.00834221624500001,"2","COL15A1"
"MFAP5",4.03824970713525e-07,8.55967932368044,0.032,0,0.00834221624500001,"2","MFAP5"
"ACVRL1",4.03824970713525e-07,6.6417569456273,0.032,0,0.00834221624500001,"2","ACVRL1"
"PTPRB",4.03824970713525e-07,7.36087653628342,0.032,0,0.00834221624500001,"2","PTPRB"
"COL4A1",4.03824970713525e-07,6.38136974844689,0.032,0,0.00834221624500001,"2","COL4A1"
"F10",4.03824970713525e-07,7.32217976003361,0.032,0,0.00834221624500001,"2","F10"
"ALDH1A2",4.03824970713525e-07,6.54091174005818,0.032,0,0.00834221624500001,"2","ALDH1A2"
"ABCA8",4.03824970713525e-07,8.03439455152466,0.032,0,0.00834221624500001,"2","ABCA8"
"ARHGAP33",4.03824970713525e-07,5.37173380632378,0.032,0,0.00834221624500001,"2","ARHGAP33"
"HEBP11",4.16407422751805e-07,0.562070275311397,0.426,0.237,0.00860214453920678,"2","HEBP1"
"TMX4",4.19961565664335e-07,0.730065188296644,0.271,0.117,0.00867556602349383,"2","TMX4"
"LTBP31",4.32428750471843e-07,0.690597084772254,0.381,0.189,0.00893311312724733,"2","LTBP3"
"AHCY",4.37156009563758e-07,0.490679247565737,0.348,0.168,0.0090307688455681,"2","AHCY"
"SDCCAG8",4.45316786337374e-07,0.987115643376957,0.31,0.145,0.00919935417215748,"2","SDCCAG8"
"ICE2",4.48557053209334e-07,0.996909061829111,0.219,0.083,0.00926629160519842,"2","ICE2"
"APCDD11",4.49896579073082e-07,0.847882722152582,0.303,0.142,0.00929396353049173,"2","APCDD1"
"NRIP1",4.51173737039644e-07,0.643340030436502,0.155,0.045,0.00932034705976497,"2","NRIP1"
"RPS4Y11",4.53775823599648e-07,0.430373336049935,0.955,0.723,0.00937410096392153,"2","RPS4Y1"
"CEP681",4.60983046895942e-07,1.1026964769324,0.252,0.105,0.00952298778277636,"2","CEP68"
"CYP2U1",4.78069414701795e-07,2.3355555759497,0.065,0.008,0.00987595796890969,"2","CYP2U1"
"NT5E",4.78069414701795e-07,3.59100701172778,0.065,0.008,0.00987595796890969,"2","NT5E"
"CDH13",4.84520839904055e-07,1.52941084791418,0.097,0.019,0.010009231510738,"2","CDH13"
"ST5",4.85706516610192e-07,1.51734003763856,0.129,0.034,0.0100337252201333,"2","ST5"
"DOCK7",4.93475677720585e-07,1.94455567697738,0.123,0.03,0.0101942205503518,"2","DOCK7"
"WNT3A",4.96335554145443e-07,1.660992382039,0.065,0.008,0.0102532998775366,"2","WNT3A"
"ZFP36L1",5.03396929465383e-07,0.304978749886744,0.742,0.449,0.0103991737688959,"2","ZFP36L1"
"MFSD14A",5.0836022297937e-07,1.39423468734272,0.181,0.062,0.0105017054863078,"2","MFSD14A"
"LEMD1",5.23813472844954e-07,2.02074747814732,0.129,0.034,0.0108209387220311,"2","LEMD1"
"ALDH1A1",5.31425926408872e-07,5.58753839156819,0.045,0.003,0.0109781967877545,"2","ALDH1A1"
"PDCD6IP",5.35990229775455e-07,0.52148819620637,0.316,0.146,0.0110724861667013,"2","PDCD6IP"
"LZTFL1",5.42728246856458e-07,1.83451325228712,0.129,0.034,0.0112116801235607,"2","LZTFL1"
"COL5A2",5.47488413884093e-07,5.30350430586584,0.045,0.003,0.0113100156540176,"2","COL5A2"
"C3",5.47488413884093e-07,6.72210528442535,0.045,0.003,0.0113100156540176,"2","C3"
"KIAA12171",5.56031316247136e-07,0.94129698783848,0.284,0.126,0.0114864949310333,"2","KIAA1217"
"TMEM97",5.57597695805745e-07,1.52370773122353,0.116,0.028,0.0115188531999551,"2","TMEM97"
"ZNF12",5.59161450601704e-07,1.06448156134483,0.123,0.03,0.01155115724653,"2","ZNF12"
"TRIQK1",5.61743640019093e-07,1.25880643166749,0.206,0.077,0.0116045001155144,"2","TRIQK"
"CCDC90B1",5.63719465105338e-07,0.514342928110462,0.387,0.203,0.0116453167101461,"2","CCDC90B"
"PLD31",5.71695110297179e-07,1.16757107225294,0.394,0.213,0.0118100775885191,"2","PLD3"
"CBX1",5.74602702899769e-07,0.746467722391364,0.329,0.158,0.0118701426365034,"2","CBX1"
"AASDH",5.77778968567167e-07,1.08710768256561,0.181,0.061,0.0119357579326605,"2","AASDH"
"IFNGR11",5.79454821903958e-07,0.32970257571645,0.471,0.264,0.011970377710892,"2","IFNGR1"
"REST",5.80421562131847e-07,0.309202398785197,0.271,0.116,0.0119903486305197,"2","REST"
"CD631",5.87185121923273e-07,0.435206205062838,0.987,0.653,0.012130070248691,"2","CD63"
"ZMYND111",5.88172026722538e-07,0.872242822503644,0.206,0.074,0.0121504577280342,"2","ZMYND11"
"KDM5A",6.08013017715822e-07,1.03851393070284,0.206,0.076,0.0125603329199735,"2","KDM5A"
"PTMA",6.20631193515295e-07,0.111915613040774,0.994,0.95,0.012820999195639,"2","PTMA"
"OLFML3",6.24338364297828e-07,5.82633837529884,0.039,0.001,0.0128975819296645,"2","OLFML3"
"TNXB",6.24338364297828e-07,8.19855283368902,0.039,0.001,0.0128975819296645,"2","TNXB"
"CBX6",6.26376346812505e-07,1.40366076466746,0.168,0.054,0.0129396825724527,"2","CBX6"
"MXRA8",6.31358673780702e-07,5.95606601444467,0.039,0.001,0.0130426074829617,"2","MXRA8"
"GAS1RR",6.31358673780702e-07,4.58964155733804,0.039,0.001,0.0130426074829617,"2","GAS1RR"
"APLP21",6.36955974586028e-07,0.308774018346408,0.497,0.285,0.0131582365229982,"2","APLP2"
"PARVA",6.38431059299133e-07,1.67163212570827,0.168,0.055,0.0131887088230015,"2","PARVA"
"VKORC11",6.78844426437607e-07,0.579409725883651,0.394,0.202,0.0140235681613481,"2","VKORC1"
"FAM104B",6.81651645195705e-07,0.574074519499987,0.271,0.117,0.0140815596864529,"2","FAM104B"
"CDH11",6.99584768685853e-07,2.85735597952112,0.097,0.02,0.0144520221515123,"2","CDH11"
"WBP4",7.21144589481003e-07,0.293853270178891,0.335,0.156,0.0148974049294986,"2","WBP4"
"PLIN2",7.46894865265442e-07,0.634548457452407,0.265,0.112,0.0154293541266535,"2","PLIN2"
"MRPL11",7.5140647006117e-07,0.258025269254564,0.529,0.309,0.0155225548585237,"2","MRPL11"
"CCNI",7.51881370171806e-07,0.198046672876738,0.884,0.551,0.0155323653450092,"2","CCNI"
"RIF1",7.5212516970057e-07,1.09910720482564,0.213,0.082,0.0155374017556744,"2","RIF1"
"BBX",7.53130063515678e-07,0.836550559503591,0.368,0.189,0.0155581608521069,"2","BBX"
"PCSK5",7.69951206907581e-07,2.45993343478752,0.071,0.01,0.0159056520322968,"2","PCSK5"
"TIPRL",7.73230082696417e-07,0.644457026184371,0.323,0.154,0.0159733870483426,"2","TIPRL"
"ACAP2",7.80014443182168e-07,0.41833618143231,0.271,0.112,0.0161135383672572,"2","ACAP2"
"HNRNPH2",7.82495220691314e-07,0.40391578823216,0.348,0.166,0.0161647862690412,"2","HNRNPH2"
"ZC3H6",7.85375776829821e-07,1.07229605725242,0.239,0.098,0.0162242927977504,"2","ZC3H6"
"CYR61",7.90508110772256e-07,2.20695268602385,0.135,0.038,0.0163303165523333,"2","CYR61"
"PNN",8.02682887529885e-07,0.422891896980411,0.406,0.214,0.0165818230905924,"2","PNN"
"CNOT2",8.09269330687072e-07,0.692259270368945,0.31,0.142,0.0167178858333335,"2","CNOT2"
"PRKAR1A1",8.14009568262484e-07,0.21611239511145,0.471,0.256,0.0168158096611664,"2","PRKAR1A"
"DDX3Y",8.19175445983028e-07,0.70133032178643,0.187,0.064,0.0169225263631174,"2","DDX3Y"
"APEX11",8.19396867132834e-07,0.384572115877072,0.626,0.382,0.0169271004812301,"2","APEX1"
"C4orf27",8.27877130821088e-07,0.54313505799706,0.303,0.14,0.017102285768502,"2","C4orf27"
"SCFD1",8.35263628575402e-07,0.683644467264776,0.245,0.102,0.0172548760391107,"2","SCFD1"
"SERPINI1",8.57817734939492e-07,1.39271767901747,0.142,0.042,0.01772079876838,"2","SERPINI1"
"FBXW7",8.64277587540068e-07,0.846802381646137,0.168,0.053,0.0178542464034027,"2","FBXW7"
"PIAS2",8.70498809043947e-07,1.51409902415194,0.103,0.023,0.0179827643972299,"2","PIAS2"
"EIF1B",8.71163554976192e-07,0.384608134496448,0.555,0.333,0.0179964967186982,"2","EIF1B"
"SIX11",8.72244176567968e-07,0.709120563839216,0.387,0.208,0.0180188201995411,"2","SIX1"
"ZNF644",8.75210074335584e-07,0.794170439247548,0.258,0.112,0.0180800897156245,"2","ZNF644"
"ANXA5",8.78839463383989e-07,0.151476812542526,0.632,0.364,0.0181550656345864,"2","ANXA5"
"B3GAT3",8.91390942825232e-07,0.959807403858534,0.277,0.126,0.0184143540968836,"2","B3GAT3"
"TM2D11",9.06211560029825e-07,0.644470675794614,0.368,0.188,0.0187205184070961,"2","TM2D1"
"SURF21",9.08357150431814e-07,0.529728166398876,0.419,0.219,0.0187648420136204,"2","SURF2"
"KAT6B",9.09039374733453e-07,0.957974390362792,0.206,0.078,0.0187789354032437,"2","KAT6B"
"RPS3A1",9.31108910358716e-07,0.239317830819274,0.994,0.962,0.0192348478701903,"2","RPS3A"
"MBIP",9.31240448782282e-07,0.974259509393989,0.219,0.086,0.0192375651909444,"2","MBIP"
"ELP2",9.40308483817319e-07,1.14558468614665,0.226,0.092,0.0194248926586982,"2","ELP2"
"TCEAL7",9.53317719299982e-07,1.91623436627506,0.09,0.018,0.019693637445299,"2","TCEAL7"
"FAM195B",9.86747392293315e-07,0.640928923607599,0.348,0.173,0.0203842276299953,"2","FAM195B"
"ARL13B",9.91100255519737e-07,0.843668399941356,0.135,0.038,0.0204741490785267,"2","ARL13B"
"H1FX1",9.91645174016035e-07,0.327765634691842,0.606,0.362,0.0204854060048232,"2","H1FX"
"PLXDC1",1.02429994478368e-06,1.6723798668056,0.123,0.032,0.0211599882593413,"2","PLXDC1"
"GLI3",1.02942089926352e-06,1.93655575136593,0.11,0.026,0.0212657769369858,"2","GLI3"
"NFKBIA",1.02999736085583e-06,0.254861518452442,0.774,0.515,0.0212776854805596,"2","NFKBIA"
"PTPRS",1.03411084992609e-06,1.16835936122971,0.2,0.074,0.0213626619377732,"2","PTPRS"
"JAM3",1.03518914145726e-06,3.11623387425912,0.058,0.006,0.0213849372842241,"2","JAM3"
"CCDC191",1.04198092898302e-06,2.53758164041326,0.09,0.018,0.0215252420309312,"2","CCDC191"
"TUSC31",1.05516927149189e-06,1.00762755969524,0.226,0.092,0.0217976868104795,"2","TUSC3"
"TATDN11",1.06759799740914e-06,0.568542001041616,0.368,0.188,0.0220544394304781,"2","TATDN1"
"NTF4",1.07080996935812e-06,1.54382834841343,0.187,0.067,0.022120792347,"2","NTF4"
"ITIH5",1.08468529430833e-06,3.38310057202763,0.058,0.006,0.0224074288098215,"2","ITIH5"
"CEP57",1.09745345191761e-06,0.932007579643449,0.271,0.122,0.022671193409714,"2","CEP57"
"BMPR2",1.10172224909445e-06,0.798631149638031,0.194,0.071,0.0227593782217931,"2","BMPR2"
"EMC71",1.11892199006786e-06,0.307703063845891,0.465,0.267,0.023114690470822,"2","EMC7"
"CFAP36",1.12521729845778e-06,0.699529548055022,0.381,0.197,0.0232447389515408,"2","CFAP36"
"CNIH3",1.12766457046231e-06,1.61365550456994,0.058,0.006,0.0232952946966104,"2","CNIH3"
"SFPQ",1.12938090026984e-06,0.143703889408626,0.445,0.24,0.0233307506377744,"2","SFPQ"
"MRPL171",1.13703546354083e-06,0.504084084809854,0.426,0.232,0.0234888786058264,"2","MRPL17"
"CXorf23",1.14651140731834e-06,1.48464659512314,0.097,0.02,0.0236846326523822,"2","CXorf23"
"ZFHX31",1.18063565759005e-06,0.89337041116972,0.2,0.074,0.0243895714144952,"2","ZFHX3"
"PKD1",1.18473893130806e-06,1.44940552680008,0.129,0.035,0.0244743368429618,"2","PKD1"
"C11orf74",1.18700729512245e-06,1.38551959989575,0.161,0.053,0.0245211967026395,"2","C11orf74"
"MFAP11",1.2048062144623e-06,0.894117194733812,0.31,0.15,0.0248888867783621,"2","MFAP1"
"POLR1D1",1.20619328930455e-06,0.302737734602494,0.774,0.527,0.0249175409704534,"2","POLR1D"
"MED31",1.22696876152067e-06,0.524152781090069,0.277,0.124,0.0253467206754939,"2","MED31"
"RBBP8",1.23919532974365e-06,0.849597583243049,0.206,0.079,0.0255992971218443,"2","RBBP8"
"ERP291",1.24914490831476e-06,0.3566313263289,0.781,0.517,0.0258048355159662,"2","ERP29"
"AAMDC1",1.24999974389598e-06,0.41064248461861,0.426,0.224,0.0258224947094031,"2","AAMDC"
"REPS1",1.2519446484169e-06,1.87631182893996,0.11,0.026,0.0258626725469963,"2","REPS1"
"RSRP1",1.25530393869141e-06,0.413709264206236,0.406,0.217,0.0259320687654871,"2","RSRP1"
"PPP1R10",1.25700357526898e-06,0.583762141344032,0.297,0.135,0.0259671798579066,"2","PPP1R10"
"SRRM1",1.25734246045492e-06,0.146783265036435,0.684,0.414,0.0259741805480777,"2","SRRM1"
"FNDC3B",1.25839968986677e-06,1.43977989544779,0.123,0.033,0.0259960207932678,"2","FNDC3B"
"RAB32",1.26350648706326e-06,0.774687755705535,0.219,0.086,0.0261015170097529,"2","RAB32"
"CISD11",1.2741341621731e-06,0.398975454070734,0.523,0.306,0.0263210635221719,"2","CISD1"
"RAB7B",1.27972109530954e-06,0.621970666338056,0.2,0.076,0.0264364783869045,"2","RAB7B"
"TMEM121",1.28066230272506e-06,1.87777542313357,0.123,0.033,0.0264559218496943,"2","TMEM121"
"TMEM106B1",1.28468442253191e-06,0.558255043595116,0.303,0.145,0.0265390108006643,"2","TMEM106B"
"FGF9",1.28760314775991e-06,2.00233738458924,0.084,0.015,0.0265993058264241,"2","FGF9"
"SYPL11",1.28842284837082e-06,0.357881316789618,0.665,0.422,0.0266162392016444,"2","SYPL1"
"STXBP31",1.29147956767319e-06,0.791837130338044,0.277,0.129,0.0266793849089928,"2","STXBP3"
"IFNGR2",1.29804633760869e-06,0.647632510861869,0.387,0.203,0.0268150412423202,"2","IFNGR2"
"SAFB",1.29871518960573e-06,0.891624975156412,0.213,0.082,0.0268288583868752,"2","SAFB"
"SNRPN1",1.30061802634261e-06,0.420037849983391,0.639,0.386,0.0268681671881857,"2","SNRPN"
"PHF6",1.30453960045533e-06,0.914984641259869,0.181,0.063,0.0269491790662062,"2","PHF6"
"STAG1",1.30660209995639e-06,0.502299357059019,0.161,0.052,0.0269917861808992,"2","STAG1"
"FOXO3",1.30724275559295e-06,1.26016741251331,0.232,0.095,0.0270050208450392,"2","FOXO3"
"NUDT3",1.30842154891879e-06,0.409287376639278,0.426,0.231,0.0270293723575643,"2","NUDT3"
"ERGIC31",1.31109692499416e-06,0.59859243644539,0.432,0.246,0.0270846402765294,"2","ERGIC3"
"SLC23A2",1.31411001154049e-06,1.64712300832276,0.09,0.018,0.0271468846184034,"2","SLC23A2"
"SUCLG2",1.31482959528274e-06,0.595919005874908,0.381,0.206,0.0271617497793508,"2","SUCLG2"
"DRG11",1.32119324469721e-06,0.69754483374183,0.258,0.112,0.0272932100489549,"2","DRG1"
"NCOR1",1.37567980854524e-06,0.451514522764511,0.381,0.199,0.0284187934849275,"2","NCOR1"
"SYF2",1.37849599536827e-06,0.291461616010709,0.703,0.454,0.0284769702723177,"2","SYF2"
"CTSO",1.38316612082326e-06,1.36999688318715,0.11,0.026,0.0285734457239668,"2","CTSO"
"ITGAE",1.3853010821376e-06,0.243346807405034,0.361,0.18,0.0286175497547986,"2","ITGAE"
"VPS28",1.38909859442117e-06,0.252157568082996,0.729,0.47,0.0286959987635525,"2","VPS28"
"CITED2",1.39592773288755e-06,0.604333047168617,0.342,0.169,0.0288370751059909,"2","CITED2"
"MLF1",1.45144446639475e-06,1.54003856734939,0.142,0.043,0.0299839397867828,"2","MLF1"
"ZNF6771",1.46049270223693e-06,1.54972236546178,0.219,0.091,0.0301708582428105,"2","ZNF677"
"FAM3C",1.46086791283769e-06,0.481897005087019,0.342,0.173,0.0301786093434009,"2","FAM3C"
"LRRFIP1",1.47307457127442e-06,0.11193500631762,0.484,0.259,0.0304307744933871,"2","LRRFIP1"
"ZC2HC1A",1.48636542498466e-06,0.919307404179861,0.232,0.096,0.0307053369493332,"2","ZC2HC1A"
"GSTO22",1.49286232135152e-06,0.738823112161106,0.323,0.161,0.0308395498344797,"2","GSTO2"
"PLSCR4",1.50548470423662e-06,1.94868325248308,0.129,0.037,0.0311003030201201,"2","PLSCR4"
"RPL321",1.50797301149884e-06,0.225969561961905,1,0.977,0.0311517064715431,"2","RPL32"
"DEXI1",1.51963022934516e-06,0.808252222237082,0.29,0.137,0.0313925212778124,"2","DEXI"
"MET",1.53077568591633e-06,1.40971379912201,0.155,0.049,0.0316227641196596,"2","MET"
"FAM172A",1.54784077478605e-06,0.670389090053357,0.187,0.066,0.0319752947255301,"2","FAM172A"
