"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNNC2",2.48290957111607e-22,5.20016244031185,0.178,0.008,5.12919459201158e-18,"6","TNNC2"
"TSPAN11",2.96389821945163e-22,3.12374407045803,0.726,0.363,6.12282094174319e-18,"6","TSPAN1"
"SCGB3A1",4.43375149005121e-22,4.73462785411041,0.288,0.032,9.15924382814778e-18,"6","SCGB3A1"
"TMC5",2.06850716299808e-21,4.67993828614513,0.247,0.023,4.27312209732144e-17,"6","TMC5"
"BMP3",2.2213996669243e-21,5.76930022128966,0.164,0.007,4.58896743193223e-17,"6","BMP3"
"SCNN1B1",3.49476946787273e-21,3.61704510432179,0.411,0.077,7.21949476673149e-17,"6","SCNN1B"
"H3F3A1",4.92017451673984e-21,0.882278786523147,0.973,0.909,1.01640965166812e-16,"6","H3F3A"
"CD241",2.26328221203443e-20,1.49195019077083,0.904,0.495,4.67548839362073e-16,"6","CD24"
"ATP6V0D2",4.02105785384891e-20,8.49481230797671,0.096,0,8.30670131448107e-16,"6","ATP6V0D2"
"SPTSSB1",7.19339036245108e-20,3.51409735977879,0.438,0.096,1.48601058107514e-15,"6","SPTSSB"
"ALDOA1",8.97752295898306e-20,1.46402836766364,0.918,0.793,1.85457669286672e-15,"6","ALDOA"
"KRT82",1.02230195869006e-19,1.67860311788151,0.877,0.568,2.11187138626193e-15,"6","KRT8"
"ELF31",2.66169215694601e-19,2.79113843990696,0.603,0.199,5.49852365781907e-15,"6","ELF3"
"SLC4A11",3.17511516561302e-19,2.6054838583527,0.288,0.038,6.55915290912338e-15,"6","SLC4A11"
"MESP1",7.27509325399215e-19,3.74549383706136,0.274,0.035,1.5028887644097e-14,"6","MESP1"
"ATP1B12",9.71896044020842e-19,2.46517805415614,0.781,0.437,2.00774284773826e-14,"6","ATP1B1"
"ATP6V0A4",2.70016017953801e-18,5.47704111410044,0.178,0.013,5.57799089888963e-14,"6","ATP6V0A4"
"FAM3B1",3.07790458394016e-18,2.3709832000741,0.589,0.201,6.35833528950359e-14,"6","FAM3B"
"MLPH1",3.50730301469755e-18,3.74027149557951,0.247,0.029,7.2453865677622e-14,"6","MLPH"
"TMEM125",3.98448069868947e-18,3.51621690267186,0.178,0.013,8.2311402273527e-14,"6","TMEM125"
"SLC44A4",9.61471942017675e-18,4.65074838636034,0.151,0.008,1.98620873782011e-13,"6","SLC44A4"
"MIA",1.87578787227984e-17,8.01905982719563,0.082,0,3.8750025865557e-13,"6","MIA"
"TMSB4X1",5.93969810629476e-17,0.691585484792557,0.986,0.952,1.22702283479837e-12,"6","TMSB4X"
"KLK1",1.38717480399129e-16,5.36909104204764,0.178,0.015,2.86562571008521e-12,"6","KLK1"
"MGST11",2.95671440699029e-16,2.00652826146169,0.808,0.501,6.10798062196055e-12,"6","MGST1"
"CIB11",3.73569674626054e-16,1.92036966065548,0.781,0.574,7.71720233842502e-12,"6","CIB1"
"MFSD4",4.35826360481622e-16,3.29414888160507,0.219,0.025,9.00330095482935e-12,"6","MFSD4"
"CD93",8.62906395020689e-16,1.00216237775123,0.932,0.762,1.78259203083374e-11,"6","CD9"
"MB1",8.65176888425115e-16,4.55123540427837,0.178,0.016,1.7872824161086e-11,"6","MB"
"PIP1",9.74550980479883e-16,3.20719425197333,0.438,0.117,2.01322741547534e-11,"6","PIP"
"AGR21",2.52710748349387e-15,2.65941484451573,0.63,0.296,5.22049863940163e-11,"6","AGR2"
"DUOX2",2.87203086603153e-15,4.04423034562372,0.219,0.027,5.93304136304794e-11,"6","DUOX2"
"CLDN41",2.97393803234313e-15,2.73638221241205,0.548,0.197,6.14356118721445e-11,"6","CLDN4"
"GCNT31",3.39090712978e-15,3.72005567134098,0.26,0.041,7.00493594869953e-11,"6","GCNT3"
"SLC9A3R21",5.60294957285858e-15,3.15105743567124,0.397,0.105,1.15745732276112e-10,"6","SLC9A3R2"
